FPS,Brightness,Contrast,Exposure,Gain,Saturation,WBBluU,WBRedV,Hue,Aperture,AutoExpos,AutoFocus,Backlight,ExpProgr,Mode,Distance,Score
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.811748511963486,0.7103393743895254
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.78087305718445,0.4160931787161871
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.81426678187952,0.6474559367736845
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.95836077893778,0.3999405032290853
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.95544243510106,0.6155028322066819
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.94151018052415,0.6768719155171676
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.77313327200196,0.7064316970077756
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.95928865166062,0.6766972497684225
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.817247512519394,0.7090623317211896
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.84906441172626,0.7084228493507151
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.810634855552216,0.7026908761197225
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.84046442974643,0.7118540760633799
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.82198439644223,0.7089356468906131
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.981438815098485,0.6158284654762342
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.80679680843982,0.7075087383824595
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.89593722369686,0.679181539052274
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.87901017325644,0.7121735482769141
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.86745533047695,0.4219749882200799
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.945803058045875,0.6460063833787199
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.94993637668014,0.6170201940627384
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.88658057641609,0.6165139158559625
0.0,6.0,22.0,-3.0,24.0,22.0,4659.0,-1.0,4659.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,42.96599604006064,0.6153065477148665
